,МУ ВСЕГО,МУ Зерновые плюс зернобоб,МУ Картофель,МУ Овощи,Энерг мощ лс/100га,ГТК,Зерновые т/га,Зерн и зернобоб т/га,Масличные т/га,Масличные 1 т/га,Зернобоб 1 т/га,Зерн и зернобоб 1 т/га,Картофель т/га,Овощи откр гр 1 т/га
2000.0,14.9,27.1,167.3,250.9,383,1.2632944228274967,1.3367793067409859,1.3389056962572392,4.36,0.48,1.6800000000000002,1.35,12.80048394192697,30.631999999999998
2001.0,12.1,21.7,182.5,272.0,375,1.0674603174603174,1.459647923431892,1.4646740965889902,8.235294117647058,0.85,1.8800000000000001,1.47,11.779490445859874,29.419
2002.0,13.0,24.5,194.3,415.2,375,0.6465177398160314,0.9868173093700925,0.9901533978918502,4.08,0.43,1.41,1.35,8.592919540229886,25.78
2003.0,12.9,22.2,223.2,286.1,372,1.4263038548752835,1.006710936713955,1.0025157232704403,3.428571428571429,0.55,1.81,1.7899999999999998,11.084930139720559,28.080000000000002
2004.0,9.2,15.8,203.7,301.5,362,1.7235002255299952,1.0636277639824998,1.0699355432780846,5.478260869565217,0.6900000000000001,1.44,1.19,8.887650933040614,29.256999999999998
2005.0,6.6,17.2,224.9,312.8,375,1.2573561703996488,1.1043152866242039,1.1021830004644682,5.178571428571428,0.5700000000000001,1.24,1.16,12.64747774480712,28.469
2006.0,10.0,26.5,247.7,318.0,362,1.5951754385964911,1.4090637625153697,1.398488194326482,2.3499999999999996,0.26,1.23,1.42,12.959595340282037,27.249000000000002
2007.0,11.8,34.2,250.2,342.8,364,1.4267185473411155,1.722943889315911,1.7284857571214396,5.279069767441861,0.72,1.95,1.75,13.421671388101984,28.910000000000004
2008.0,17.3,47.07,279.96,383.63,384,1.5703211517165006,1.6725851571499093,1.6641713823767177,3.3548387096774195,0.58,1.49,1.7600000000000002,12.666342557965594,30.2
2009.0,13.26,27.77,277.34,376.92,377,1.2963940193491645,1.849228254948248,1.851197119711971,1.526315789473684,0.29,2.07,1.89,15.713173652694614,29.419999999999998
2010.0,13.22,32.45,275.28,301.54,380,1.7177700348432052,1.06024405908799,1.0676716917922948,3.721518987341772,0.49000000000000005,1.98,1.3699999999999999,8.487660862982588,22.45
2011.0,18.9,40.41,326.08,232.88,344,1.351575456053068,1.589149377593361,1.5884825217215597,9.5,0.8699999999999999,1.56,1.61,14.768793774319066,23.86
2012.0,17.73,35.52,244.55,231.86,351,1.9200347674923945,1.683574771562291,1.6939647766323023,4.666666666666667,0.42000000000000004,2.0300000000000002,1.73,15.493694421988682,30.889999999999997
2013.0,13.31,34.84,271.63,159.23,335,0.9706368899917286,1.34099886492622,1.33253829321663,5.25,0.67,1.21,1.35,15.83088101725704,27.76
2014.0,14.1,34.3,298.3,215.13,327,1.1102756892230579,2.062999345121153,2.070578231292517,8.333333333333334,0.8400000000000001,2.35,2.07,17.661710398445095,29.75
2015.0,19.34,41.23,328.84,185.54,334,1.8255208333333337,2.0393031513537507,2.0451396406148517,0.5581395348837209,0.7,2.3600000000000003,2.08,18.56527514231499,30.3
2016.0,19.16,38.45,313.56,178.27,331,1.616872427983539,1.7441396508728182,1.7411944557684467,0.33333333333333337,0.16999999999999998,2.23,1.85,18.302366863905323,27.98
2017.0,21.14,39.94,363.73,246.08,330,1.6844741235392318,1.668545803971813,1.6541442188147535,11.388888888888888,1.19,1.73,1.9100000000000001,14.626470588235295,23.14
2018.0,25.42,47.6,418.11,263.86,356,1.588380716934487,1.7553314789058878,1.75095099574849,36.2,0.32999999999999996,1.6300000000000001,1.77,18.347745664739882,28.869999999999997
2019.0,26.87,57.93,463.66,276.35,336,1.6767537826685004,2.0648618288025165,2.035410764872521,30.215384615384615,0.54,1.28,2.12,19.28364705882353,29.15
